,PName,geometry,polygon,pname,Status,color
27,R1-1,"
								0.6060096089278666,41.60553040180039,196.6292680096526 0.6060522361292353,41.60549870176146,196.7057312904809 0.6060836898405708,41.60552240054683,196.6670956837774 0.6060422966201395,41.60555432221185,196.6363790340741 0.6060096089278666,41.60553040180039,196.6292680096526 
							","[[1302  510]
 [1298  537]
 [1560  537]
 [1543  493]]",R1-1,Free,blue
28,R1-2,"
								0.6060441836549479,41.60555599486906,196.6380746401324 0.6060857998916647,41.60552443924777,196.6670933043388 0.6061045942926202,41.60553815662695,196.6670935405851 0.6060625885337889,41.60556967917999,196.6830591647989 0.6060441836549479,41.60555599486906,196.6380746401324 
							","[[1307  476]
 [1300  507]
 [1542  490]
 [1532  464]]",R1-2,Free,green
29,R1-3,"
								0.6061063570514991,41.60553973466475,196.6670936099029 0.6061242862428506,41.6055531556999,196.7007650809847 0.6060824222431438,41.60558492246184,196.7019951616212 0.6060639886530894,41.60557115902179,196.6822454816746 0.6061063570514991,41.60553973466475,196.6670936099029 
							","[[1521  441]
 [1530  463]
 [1305  473]
 [1312  447]]",R1-3,Occupied,red
30,R1-4,"
								0.6060839915466909,41.60558647278619,196.6948997280397 0.6061262375707899,41.60555488313203,196.705731281993 0.6061451423980935,41.60556867756232,196.7586935168371 0.6061024955006999,41.60560033925089,196.7609503323054 0.6060839915466909,41.60558647278619,196.6948997280397 
							","[[1513  414]
 [1521  437]
 [1314  449]
 [1319  427]]",R1-4,Free,green
31,R1-5,"
								0.6061042026945063,41.60560201269035,196.7616082159577 0.6061470666975932,41.60556995820473,196.7563706740694 0.6061650186214607,41.6055838003725,196.7057304063256 0.6061226202146153,41.60561552418731,196.667095975195 0.6061042026945063,41.60560201269035,196.7616082159577 
							","[[1510  395]
 [1520  415]
 [1320  427]
 [1320  407]]",R1-5,Free,green
32,R1-6,"
								0.6061256236650236,41.60561712922092,196.667098453659 0.6061672611574376,41.60558576623839,196.705730276178 0.6061854205267059,41.60559938134018,196.7057320996598 0.6061436764021089,41.60563096812824,196.6918041010474 0.6061256236650236,41.60561712922092,196.667098453659 
							","[[1503  375]
 [1516  395]
 [1320  404]
 [1324  385]]",R1-6,Free,green
33,R1-7,"
								0.6062063538010198,41.60561432394783,196.7151904671446 0.6061634944227734,41.60564597824459,196.7937966658547 0.6061456101403384,41.60563226376537,196.6968597191517 0.6061877265292348,41.60560108096786,196.7057297258798 0.6062063538010198,41.60561432394783,196.7151904671446 
							","[[1324  365]
 [1324  385]
 [1506  373]
 [1501  355]]",R1-7,Free,green
34,R1-8,"
								0.6061649504923183,41.60564803706336,196.8004323132431 0.6062081685316256,41.60561638327848,196.7208781331775 0.6062256786051368,41.60562968842427,196.7443672480172 0.6061844735476307,41.60566119479513,196.717985445986 0.6061649504923183,41.60564803706336,196.8004323132431 
							","[[1327  348]
 [1325  365]
 [1499  356]
 [1494  341]]",R1-8,Free,green
35,R1-9,"
								0.606185197117195,41.60566303685718,196.7279645512048 0.6062283184044559,41.60563115032,196.7443671928459 0.6062461721153656,41.60564544049137,196.7443650510682 0.6062041345262159,41.60567650154105,196.7211777175128 0.606185197117195,41.60566303685718,196.7279645512048 
							","[[1489  322]
 [1496  341]
 [1325  351]
 [1327  329]]",R1-9,Free,green
36,R1-10,"
								0.606206253771655,41.60567849751963,196.7148227844647 0.6062485394568085,41.60564686592282,196.7443651019956 0.6062667640053787,41.60566052828686,196.7617978835271 0.6062251934876506,41.60569195061663,196.6996913925579 0.606206253771655,41.60567849751963,196.7148227844647 
							","[[1483  309]
 [1491  322]
 [1327  334]
 [1330  319]]",R1-10,Free,green
